Year; Number of swallows perched; Perching probability
0; 0; 0
0; 0; 2.0
1; 0; 2.0625
2; 0; 2.125
3; 0; 2.1875
4; 2; 2.25
5; 2; 2.3125
6; 2; 2.375
7; 1; 2.4375
8; 3; 2.5
9; 3; 2.5625
10; 1; 2.625
11; 1; 2.6875
12; 0; 2.75
13; 0; 2.8125
14; 0; 2.875
15; 2; 2.9375
16; 3; 3.0
17; 2; 3.0625
18; 3; 3.125
19; 3; 3.1875
20; 3; 3.25
21; 2; 3.3125
22; 2; 3.375
23; 4; 3.4375
24; 3; 3.5
25; 3; 3.5625
26; 2; 3.625
27; 2; 3.6875
28; 2; 3.75
29; 3; 3.8125
30; 2; 3.875
31; 4; 3.9375
32; 4; 4.0
33; 2; 4.0625
34; 2; 4.125
35; 3; 4.1875
36; 2; 4.25
37; 2; 4.3125
38; 3; 4.375
39; 2; 4.4375
40; 2; 4.5
41; 2; 4.5625
42; 2; 4.625
43; 1; 4.6875
44; 3; 4.75
45; 6; 4.8125
46; 5; 4.875
47; 2; 4.9375
48; 3; 5.0
49; 2; 5.0625
50; 2; 5.125
51; 3; 5.1875
52; 2; 5.25
53; 1; 5.3125
54; 1; 5.375
55; 2; 5.4375
56; 5; 5.5
57; 4; 5.5625
58; 1; 5.625
59; 2; 5.6875
60; 1; 5.75
61; 3; 5.8125
62; 3; 5.875
63; 1; 5.9375
64; 1; 6.0
65; 4; 6.0625
66; 5; 6.125
67; 1; 6.1875
68; 5; 6.25
69; 6; 6.3125
70; 6; 6.375
71; 4; 6.4375
72; 2; 6.5
73; 2; 6.5625
74; 3; 6.625
75; 3; 6.6875
76; 4; 6.75
77; 4; 6.8125
78; 2; 6.875
79; 4; 6.9375
80; 4; 7.0
81; 3; 7.0625
82; 2; 7.125
83; 2; 7.1875
84; 2; 7.25
85; 4; 7.3125
86; 4; 7.375
87; 6; 7.4375
88; 7; 7.5
89; 5; 7.5625
90; 5; 7.625
91; 5; 7.6875
92; 5; 7.75
93; 3; 7.8125
94; 1; 7.875
95; 2; 7.9375
96; 3; 8.0
97; 4; 8.0625
98; 4; 8.125
99; 4; 8.1875
100; 2; 8.25
101; 1; 8.3125
102; 2; 8.375
103; 4; 8.4375
104; 5; 8.5
105; 6; 8.5625
106; 4; 8.625
107; 3; 8.6875
108; 4; 8.75
109; 5; 8.8125
110; 5; 8.875
111; 6; 8.9375
112; 5; 9.0
113; 4; 9.0625
114; 7; 9.125
115; 6; 9.1875
116; 4; 9.25
117; 4; 9.3125
118; 2; 9.375
119; 1; 9.4375
120; 1; 9.5
121; 2; 9.5625
122; 3; 9.625
123; 1; 9.6875
124; 3; 9.75
125; 5; 9.8125
126; 3; 9.875
127; 5; 9.9375
128; 9; 10.0
129; 13; 10.0625
130; 24; 10.125
131; 76; 10.1875
132; 132; 10.25
133; 163; 10.3125
134; 183; 10.375
135; 192; 10.4375
136; 197; 10.5
137; 198; 10.5625
138; 191; 10.625
139; 192; 10.6875
140; 193; 10.75
141; 194; 10.8125
142; 195; 10.875
143; 197; 10.9375
144; 197; 11.0
145; 197; 11.0625
146; 196; 11.125
147; 196; 11.1875
148; 197; 11.25
149; 195; 11.3125
150; 199; 11.375
151; 196; 11.4375
152; 193; 11.5
153; 194; 11.5625
154; 195; 11.625
155; 193; 11.6875
156; 197; 11.75
157; 194; 11.8125
158; 197; 11.875
159; 196; 11.9375
160; 196; 12.0
161; 197; 12.0625
162; 196; 12.125
163; 195; 12.1875
164; 197; 12.25
165; 199; 12.3125
166; 197; 12.375
167; 195; 12.4375
168; 194; 12.5
169; 194; 12.5625
170; 198; 12.625
171; 195; 12.6875
172; 194; 12.75
173; 196; 12.8125
174; 195; 12.875
175; 193; 12.9375
176; 189; 13.0
177; 194; 13.0625
178; 191; 13.125
179; 192; 13.1875
180; 193; 13.25
181; 196; 13.3125
182; 194; 13.375
183; 192; 13.4375
184; 197; 13.5
185; 198; 13.5625
186; 194; 13.625
187; 194; 13.6875
188; 191; 13.75
189; 194; 13.8125
190; 192; 13.875
191; 192; 13.9375
192; 196; 14.0
193; 194; 14.0625
194; 188; 14.125
195; 193; 14.1875
196; 196; 14.25
197; 193; 14.3125
198; 194; 14.375
199; 195; 14.4375
200; 195; 14.5
201; 197; 14.5625
202; 198; 14.625
203; 197; 14.6875
204; 198; 14.75
205; 196; 14.8125
206; 192; 14.875
207; 193; 14.9375
208; 197; 15.0
209; 195; 15.0625
210; 195; 15.125
211; 195; 15.1875
212; 197; 15.25
213; 197; 15.3125
214; 197; 15.375
215; 193; 15.4375
216; 194; 15.5
217; 194; 15.5625
218; 195; 15.625
219; 195; 15.6875
220; 192; 15.75
221; 195; 15.8125
222; 191; 15.875
223; 192; 15.9375
224; 192; 16.0
225; 192; 16.0625
226; 192; 16.125
227; 195; 16.1875
228; 197; 16.25
229; 195; 16.3125
230; 194; 16.375
231; 192; 16.4375
232; 195; 16.5
233; 195; 16.5625
234; 194; 16.625
235; 196; 16.6875
236; 194; 16.75
237; 193; 16.8125
238; 190; 16.875
239; 192; 16.9375
240; 193; 17.0
241; 196; 17.0625
242; 194; 17.125
243; 194; 17.1875
244; 193; 17.25
245; 191; 17.3125
246; 196; 17.375
247; 194; 17.4375
248; 194; 17.5
249; 192; 17.5625
250; 192; 17.625
251; 193; 17.6875
252; 196; 17.75
253; 194; 17.8125
254; 190; 17.875
255; 191; 17.9375
256; 189; 18.0
